title,content,topic,source,existing_summary
News Article 158882,"Sarika is making a return to her favourite production house with her new film Uunchai where stars with Amitabh Bachchan, Anupam Kher, Boman Irani and Neena Gupta. This film, directed by Sooraj Barjatya, is produced by Rajshri Films, the same production house that gave Sarika her early films like Geet Gata Chal. Speaking about how he landed the role, Sarika reveals, It happened like any other film. But here, there was that thing, Oh, Rajshri again. I like these little things. She confesses that she was looking forward to working with Sooraj Barjatya. She says, Although I am particular about what role I pick up, I was ready to do anything that was offered to me because I wanted to work with Sooraj Ji. I never expected the role to be so good. The screenplay is written with simplicity and love. Further explaining the details behind her casting on Uunchai Sarika says, He Sooraj sent the script to me online. I read it and said yes. We met once when the lockdown was about to end. Then we met for the look test and went for the shoot. Sarika explains that a similar feeling of gratitude and fulfillment happened a few years ago with a Yash Raj film, too. She says, It happened with Yash Chopra uncle as well when he asked me to do a guest appearance in Jab Tak Hai Jaan 2012. I was very happy. If Yash uncle had asked me to make a passing appearance in the film I would have done it. Because he was the First AD to BR Chopra on Hamraaz 1967. It was my first film. Imagine that circle of life.",Entertainment,NewsSumm++,"Sarika is thrilled to reunite with Rajshri Films for her new project Uunchai, directed by Sooraj Barjatya. Expressing her excitement, she shares how she eagerly accepted the role, emphasizing her admiration for Barjatyas work. Reflecting on her gratitude, she recalls a similar experience with Yash Raj Films, feeling honored to have been part of Jab Tak Hai Jaan. The opportunity to work with legendary figures like Barjatya and Yash Chopra fills her with joy and a sense of fulfillment, highlighting the cyclical nature of her journey in the film industry."
News Article 212311,"Plagued by frequent communication disruption and deteriorating health conditions, Anini, the district headquarter of Dibang Valley has been in the news over a regular period of time. Much publicity on the crisis isnt helping either. Its scaring the government employees as Anini is referred to as punishment posting. The situation has already started to take its toll, severely affecting the education scenario in the district. The Government Higher Secondary School at Anini, with 450 students on roll is running short of teachers. Since two years, the school hasnt been deputed with Vice Principal and Principal. The students are practically on vacation. Similar is the situation at Jawahar Navodaya Vidyalaya JNV School of the district headquarter. The 120 hostel inmates share a single toilet and a open bathroom. Perforated by roof leakages, the students are forced to share beds. The sick are carried to hospital on back. The All Idu Mishmi Students Union AIMSU and the Dibang Valley Students Union DVSU are protesting that their appeals on the crisis arent yielding results. Similar concern was shared by Dibang Valley AAPSU unit. Worried at the deteriorating situation, they had threatened to shut down the office of Deputy Director of Secondary Education at Anini two months back, alleging its failure. The government responded to the protest and promised to depute required teachers, Vice Principal and Principal for the Anini School. Protest was called off after verbal assurance from the Education Minister. Since then, it has been a long wait. Its New Year now, and the teachers deputed for the school have not yet reach Anini. AIMSU Secretary Rajiv Mihu informs that the two teachers and a Vice Principal deputed for Anini School had sought transfer to another district, even before they were to join their duty. None of the government employees want to serve in this remote district, says Mihu. The people of Dibang Valley arent scaring them away. Its the pitiable living condition that is driving them away. Education Director, T Taloh is slated to visit this district on Jan 3. There were earlier visits of high level dignitaries too, but situation hasnt improved at all. The student pressure lobbies arent able to comprehend on how to address the issue. There had been several appeals, bandh calls, picketing and protests over the crisis. But it failed to create ripples in the state capital of Itanagar, enough to prod the politicians to act. Anini is neglected politically, feels Mihu. Similar protest action in Roing would have shaken the political corridors of Itanagar.",Local News,NewsSumm++,"Anini, the headquarters of Dibang Valley district in Arunachal Pradesh, is facing a severe crisis. Due to poor communication, healthcare, and infrastructure, its been dubbed a punishment posting for government employees. The situation is particularly dire in education, with the districts main school facing a severe shortage of teachers and poor facilities. Despite protests and appeals by students and local organizations, the governments promises of improvement have not been fulfilled. The districts remoteness and lack of political attention are seen as major obstacles to addressing the crisis."
News Article 220455,"The Human Resource Development HRD ministry today gave the go ahead to a single National entrance exam for all undergraduate engineering and architecture courses from 2018 on. The single national entrance exam will from 2018 on decide admissions to over 3,000 public and private engineering colleges. It will be conducted multiple times in a year. The HRD ministry has moved the single exam format to improve standards and quality of engineering education in the country. As of now there are multiple exams for engineering conducted by the Centre, states and private institutes. The National Entrance Exam will coexist along with the JEE Advanced that determines admission to the IITs. The Centre has asked the apex engineering education regulatorAll India Council for Technical Education AICTE to issue a suitable regulation under the AICTE Act for implementation of the proposal. AICTE has also been asked to ensure the test is well standardised keeping in mind the countrys linguistic diversity. All states and deemed to be universities offering the courses have been asked to give their constructive suggestions to ensure a smooth implementation of the common exam. The HRD ministry has also advised that maximum institutions be brought in under the Joint Seat Allocation regime for an efficientt system. Incidentally, Tamilnadu was one of the states that has strongly opposed the concept of a common exam AIDMK MPs even raised it in Parliament recently. colleges and an exit exam for engineering graduates has suffered a jolt. Tamilnadu has strongly objected to the move being forced on the country by the Center.", Education and Policy,NewsSumm++,"The HRD ministry has approved a single National Entrance Exam for undergraduate engineering and architecture courses from 2018, aiming to improve education standards. This exam will be held multiple times annually and will coexist with JEE Advanced. Tamil Nadu has opposed the move, calling it forced."
News Article 147634,"SAN FRANCISCO Apples ads used to challenge consumers to think different. Now a website wants fans of the companys products to date different, too. Called Cupidtino, an homage to Apples home base in Cupertino, California, the site aims to connect Apple aficionados with likeminded Machearts. The idea is that if you love iPhones and Macs, you might be best suited to date a fellow Apple fan. About 16,000 Apple fanboys and fangirls have signed up since the site launched in early June, sharing such intimate details as their earliest Apple product purchases and lists of favourite iPhone apps on their profile pages. Cupidtino is the brainchild of Mel Sampat, a former Microsoft employee who came up with the idea during an argument with his girlfriend over whether he should use his iPad during dinner. Sampat told her that if they ever broke up he would date someone who likes Apple products. That got him thinking about creating a site to help connect those who do. The more I thought about it, the more I realized people that are true Apple fans might actually have a lot more in common than they realize, he said. The sites styling is unmistakably Appleinspired, with a crisp, clean layout, copious use of black, white and grey and text presented in a bold, sansserif font. So far, Apple hasnt taken issue with the similarities. Sampat said he received an email from Apples business development team in San Francisco, which said it was aware of Cupidtino and to let the group know if he needed any help. Apple spokeswoman Kristin Shuguet said the company had no comment. The site was initially available in a free beta version but on Wednesday began charging users a bit less than 5 a month to read messages theyve been sent. Its usable only on a Mac, iPhone, iPod Touch or iPad, naturally. Your browser lets Cupidtino know what operating system your computer uses, so if you try to access it on a PC it will lead you to a page that apes Apples popular Im a Mac ads and lets you know Cupidtino is offlimits from Windows. And you can only sign up on a Mac or iPad Cupidtino quickly disabled iPhone signups because users cant upload photos from the device. For now, it can be tricky to find anyone near you. The site only lets you filter users by country and, in the US, by state. Sampat said he and two unpaid stakeholders are working on more features, as well as Cupidtino iPhone and iPad applications. Andrew Fiore, a doctoral candidate at the University of California, Berkeley, who studies how people form relationships through dating sites, thinks Cupidtino cleverly capitalizes on the excitement surrounding the iPad and iPhone. As those things become more and more integrated into life, I can see why people want somebody that might share their preference in that area, he said, even if it is just one dimension of what someone likes about you.",Technology and Gadgets,NewsSumm++,"Cupidtino, inspired by Apples Cupertino base, connects Apple enthusiasts for dating. Mel Sampat, its creator, conceived the idea during an argument with his girlfriend about iPad use during dinner. Styled like Apple, the site attracts 16,000 users sharing Apple preferences. Apple is aware but hasnt commented. Initially free, it now charges 5 monthly for messaging. Accessible only on Apple devices, it directs PC users to a playful ad page. Filtering is limited, but updates and apps are in development. Andrew Fiore, a relationship expert, sees Cupidtino tapping into Apples cultural influence for niche dating."
News Article 242536,"Aimed at boosting the tourism sector, Indian tourists  the largest inbound group  to Sri Lanka, would receive free tourist visas with immediate effect, the Department of Immigration and Emigration has announced here. The facility follows a Cabinet decision from October to issue free tourist visas to travellers from India, China, Russia, Malaysia, Japan, Indonesia, and Thailand amidst efforts to rebuild the debttrapped island nations tourism sector that had slumped since the 2019 Easter Sunday bombings.The pilot project to offer free visas for the first 30 days would be in force till March 31, 2024, the announcement said. The travellers would be given dual entry status on arrival and the visa validity would be limited to 30 days stay in the island nationIndia is traditionally Sri Lankas top inbound tourism market. In October 2023, arrival figures for India topped with over 28,000 arrivals or 26 per cent with Russian tourists trailing at over 10,000 arrivals as the second largest group. The British tourists were placed third with over 8,000 arrivals. Tourist arrivals to the island nation had slumped since the 2019 Easter Sunday bombings that left 270 persons, including 11 Indians, dead and over 500 injured. Sri Lanka has been grappling with unprecedented economic turmoil, which has prompted an acute shortage of essential items like food, medicine, cooking gas and other fuel, toilet paper, and even matches. In March, the International Monetary Fund agreed on a  3 billion bailout to Sri Lanka to revive its ailing economy.",International News,NewsSumm++,"Sri Lanka is offering free tourist visas to Indian travelers, its largest inbound group, to boost tourism. This pilot project allows a 30day stay and dual entry, running until March 31, 2024. The initiative follows a Cabinet decision aimed at revitalizing the tourism sector post2019 bombings and economic crisis."
News Article 125471,"Tehran, November 17 Iran today said that some unidentified foreign planes violated its airspace six times as the country kicked off its biggestever air defence drill, but the intruders were intercepted and forced back by Iranian jets. The remarks by Gen Hamid Arjangi, a spokesman for the exercise, were the first Iranian claim of an intrusion. Initially, he had only said that foreign reconnaissance planes had approached Irans airspace. Gen Hamid Arjangi said Irans radar stations and observation posts picked up on the planes entering Iranian air space during the fiveday drill, which started yesterday. There were six cases of intrusion by unidentified planes into the country, Arjangi was quoted as saying by the official IRNA news agency. In all six cases, air force jet fighters took off and carried out interception operations ... artillery systems were alerted, targets were identified and necessary warnings given. The Iranian exercise is meant to showcase the countrys capabilities in defending its nuclear facilities from possible attack. It followed an official announcement by the Iranian Air Force saying its troops earlier this year conducted exercises at several facilities  from the uranium enrichment plant at Natanz, the underconstruction enrichment site at Fordo, to the nuclearconversion facility near Isfahan and the Bushehr nuclear power plant. Arjangi said thousands of surveillance outposts had been stationed along 7,000 km of Iran border, equipped with sophisticated communication systems capable of countering enemy jamming to transfer data to control command centres. He did not specify whether the figure, which is only a segment of the total Iranian borderline, referred to that in the Persian Gulf. Gen Ahmad Mighani, head of an air force branch in charge of responding to threats to Irans air space, said, The war games seek to upgrade the combat preparedness of the countrys air defence system. The United States and its European allies accuse Iran of embarking on a nuclear weapons programme. Iran denies the charge and insists the program is only for peaceful purposes. Israel has not ruled out military action to stop Iran from obtaining nuclear weapons. Iran, in turn, has said Israel would face a devastating retaliation if it attacked the Islamic Republic. Iran is expected to unveil a locally made radar system with a range of some 2,900 km during the drill. Irans armed forces conduct several war games every year and frequently unveil new weapons and military systems during those exercises.  AP",International News,NewsSumm++,"Iran reported six instances of unidentified foreign planes violating its airspace during its largestever air defense drill. Iranian jets intercepted and forced back these intruders, showcasing the countrys defense capabilities. The drill aimed to demonstrate Irans ability to defend its nuclear facilities. Surveillance outposts along 7,000 km of Irans border, equipped with advanced communication systems, played a crucial role. The exercise seeks to enhance Irans air defense system readiness amid tensions with the US, Europe, and Israel over its nuclear program. Iran denies pursuing nuclear weapons, asserting its program is peaceful."
News Article 194589,"The SiDonyi festival of Tagin community was celebrated with traditional fervours and gaiety at SiDonyi ground near Helipad, Naharlagun today. The festival is celebrated every year by Tagin community for well being of mankind. The Tagins believe that the all pervading SiDonyi is the supreme authority of the existing life. Addressing the gathering at the celebration, Parliamentary Secretary for UD and Land Management, Techi Kaso urged all the senior members of the community to impart their traditional knowledge and wisdom to their younger generation so that they can carry forward their tradition and culture ahead. The Parliamentary Secretary also appealed to all to spread the message of love, peace and togetherness while celebrating the festival. Kaso also released a Tagin folk tale book The Story of Himbin Techi on the occasion. Earlier, Parliamentary Secretary Supply and Consumer Affairs, Nyamar Karbak appealed to the people not to forget their own culture and tradition no matter what religion they follow. He further appealed, especially to the younger generation to preserve their culture and language. SiDonyi Mythology was read out by Secretary General SiDonyi Committee, Capital Complex. Mega dance was performed by dance troupes from capital complex and districts on the occassion, reports DIPR. Our Daporijo Correspondent adds Si Donyi festival of Tagin community was also celebrated with religious fervours at Daporijo today. The festival is celebrated annually to promote the health, wealth and prosperity of the people of the tribe. The festival involves various rituals that are performed to appease Si Donyi. Attending the festival, ZPM Yokpo Baja appealed to the people of the community to foster communal harmony to ensure peaceful coexistence among various tribes. The essence of all religions is peaceful coexistence and communal harmony, he said and appealed to all to have respect for others religions and belief. He also highlighted various social problems concerning Upper Subansiri district and urged all to bring about a positive changes in the district. He appealed to the members of the community to work for promotion of the festival. Senior citizen Tabom Laigi urged the believers to preserve and promote the ageold culture and traditions to keep identity intact. Everyone should work for the betterment of the society. Every citizen coming from other state should be treated like a guest, he said. Various sports, cultural and literary competitions were organized to mark the festival. The cultural night was another main attraction of the festival wherein renowned local singers enthralled the audience with their melodious voice. A film titled Light of SiDonyi was also screened. Food stalls were also one of the main attractions during the festival. There were food stalls for different food items especially to promote the local cuisines. Apart from local people tourists from Europe, Asia, America and members from various other communities thronged the festival venue and witnessed the colorful celebration. The festival was also celebrated in a grand way at Siyum SINALITA by organizing colourful cultural nights and games and sports, cultural and literary competitions. Dr.Tara Nayam, Vice President of Tagin Cultural Society in his address yesterday expressed happiness over participation of members from other communities in enthusiasm making the celebration a grand success. SiDonyi festival was also celebrated in Dumporijo, Aalo, Roing and many other places.",Religion and Spirituality,NewsSumm++,"The SiDonyi festival of the Tagin community was celebrated with traditional fervor across various locations including Naharlagun, Daporijo, Siyum, and others. It is an annual event aimed at promoting health, wealth, and prosperity. Parliamentary Secretary Techi Kaso emphasized preserving traditional knowledge and fostering unity. Nyamar Karbak urged cultural preservation amidst diverse religious influences. The festivities included rituals, cultural performances, and the launch of a Tagin folk tale book. ZPM Yokpo Baja highlighted communal harmony, while cultural nights and food stalls enriched the celebration. The festival also attracted tourists and participants from diverse backgrounds, enhancing its cultural significance."
News Article 50035,"NEIAFMR to be developed as national hub for folk medicines Correspondent PASIGHAT, 26 Dec Giving a major boost to folk medicine research, union AYUSH Minister Sarbananda Sonowal, along with Chief Minister Pema Khandu on Tuesday laid the foundation stone for capacity expansion at the North Eastern Institute of Ayurveda  Folk Medicine Research NEIAFMR here in East Siang district. With a total investment of Rs 53 crore, additional infrastructure will be developed at the institute to further the capacity in research and development of Ayurveda and folk medicines. After laying the foundation stone, Sonowal said that the NEIAFMR will be developed as a national hub for folk medicines. He said that folk medicines have a rich heritage of healing humanity for thousands of years. They have remained among our communities, helping generations to enrich their lives. The union minister said that efforts are being made to rejuvenate the traditional medicines, including folk medicines, to bolster our healthcare system and provide people with an enriched life experience. Supplementing this effort, the central government has committed investment to build additional infrastructure at NEIAFMR, which will build its capacity to act as a catalyst to strengthen its research and development in Ayurveda and folk medicines from the region, he said. Sonowal said that the traditional healing system, using folk medicines, is popular in 170 countries, and that more than 900 startups have been developed in the country so far. The minister informed also that a new centre on SowaRigpa Knowledge of Healing will be set up in Arunachal Pradesh soon. Speaking about inland water transport, the minister informed that steps have been taken to develop a water travel route, linking the Siang belt of Arunachal with Assam through the Siang and the Brahmaputra rivers. A ship transit station is being constructed at Bogibeel near Dibrugarh town in Assam, which is opening shortly, he said. Khandu said We are very happy that an institution of Arunachal Pradesh, the NEIAFMR, is working towards harnessing the richness of folk medicines of the Northeast. The chief minister said that, under the leadership of Prime Minister Narendra Modi, the capacity of the institute is being expanded, and it will not only help the traditional medicines from the region but also is an opportunity to document our ageold folk medicines in a scientific manner for wider application in patient care beyond its traditional geographical reach. The capacity expansion at the institute includes an academic building, boys and girls hostels, staff quarters, and a building for its director. The investment will cater to the development of additional infrastructure for opening of an Ayurveda college for imparting quality undergraduate courses in Ayurveda, Bachelor of Ayurveda Medicine and Surgery, as well as postgraduate courses in due course. The new Ayurveda college at the NEIAFMR will promote and develop Ayurveda through education, research and extension services. The event was attended by, among others, Legislative Assembly Speaker Pasang Dorjee Sona, Health Minister Alo Libang, MP Tapir Gao, and MLAs Kaling Moyong and Ninong Ering. With inputs from PIB",Local News,NewsSumm++,"Union AYUSH Minister Sarbananda Sonowal and Chief Minister Pema Khandu laid the foundation stone for capacity expansion at the North Eastern Institute of Ayurveda  Folk Medicine Research NEIAFMR in East Siang district, Arunachal Pradesh. With an investment of Rs 53 crore, the expansion aims to enhance research and development in Ayurveda and folk medicines. Sonowal stated that NEIAFMR would be developed as a national hub for folk medicines, emphasizing the rich heritage of healing in folk medicines. The capacity expansion includes an academic building, hostels, staff quarters, and a directors building. The investment will support the establishment of an Ayurveda college offering undergraduate and postgraduate courses. The initiative is part of efforts to rejuvenate traditional medicines and strengthen healthcare systems. The event was attended by various dignitaries, including Legislative Assembly Speaker Pasang Dorjee Sona and Health Minister Alo Libang."
News Article 154060,"GUWAHATI Assam down town University AdtU and IBM NYSE IBM today announced a landmark collaboration to equip students with the most soughtafter IT skills in several areas including cloud, artificial intelligence, data science and predictive analytics needed to thrive in the job market.Today, during the grand launch of the event Dr. Prabhat Manocha, Account Technical Leader at IBM IndiaSouth Asia along with Shefaly Dutta, Academic Partnership Leader East India and Extended countries, IBM graced Assam down town University.This collaboration aligns with AdtUs curriculum with anticipated industry demand, ensuring students graduate with the knowledge and experience that employers seek. AdtU and IBM will work together to provide joint specialized programs in the areas mentioned earlier, dedicated computer lab with IBM software, industryaligned curriculum and IBM subject matter expertled instruction for students aimed at building a skilled future workforce.",Education,NewsSumm++,"Assam down town University AdtU and IBM have announced a collaboration to provide students with soughtafter IT skills such as cloud computing, artificial intelligence, data science, and predictive analytics. During the launch event, Dr. Prabhat Manocha from IBM IndiaSouth Asia and Shefaly Dutta from IBM attended. This collaboration aims to align AdtUs curriculum with industry demand, offering specialized programs, dedicated computer labs with IBM software, and expertled instruction to prepare students for the job market."
News Article 188932,"A SikhAmerican councilman was called a terrorist on Twitter by a Donald Trump supporter but the Indianorigin politician hit back at the troll, saying you clearly dont know what it means to be an American.Ravinder Bhalla, city council member at large and council president of Hoboken, New Jersey, posted a message on Twitter about the Hoboken City Council approving a waterfront multiuse pathway.After Bhalla sent out the tweet, Robert Dubenezic  an open supporter of Republican presidential nominee Trump  expressed shock that Bhalla was a councilman. How the hell did Hoboken allow the guys to be councilman Shouldnt even be allowed in the US terrorist, Dubenezic tweeted on Thursday. Bhalla was quick to answer, exclaiming, Sir, I am born and raised in America. You clearly dont know what it means to be an American...ignorant. Dubenezics Twitter page contains several posts expressing his support for presumptive Republican presidential nominee Trump.With a lot of the rhetoric were hearing from people like Donald Trump about Muslim Americans and people who are perceived to be from a Muslim background, I think the spread of Islamophobia from our national leaders sends the wrong message, Bhalla told NBC News. I hope this episode shows people that words can be hurtful and that discriminating based on how someone looks shouldnt just be ignored. People should be educated on different faiths and backgrounds so that diversity is celebrated, Bhalla said. America is, after all, a nation of immigrants. And if we work together instead of against each other, well accomplish so much more, he said. Many voiced their support for Bhalla, including elected officials US representative Bonnie WatsonColeman and Hoboken mayor Dawn Zimmer, members of the SikhAmerican community, and his constituents. At the end of the day, I dont hold any malice toward this person. I forgive him for what he said and hope he will educate himself about how his comments can be hurtful and divisive, Bhalla said.Bhalla is also an attorney and a founding member of the national Sikh Bar Association. He earned national recognition for leading a successful challenge to the New York Police Department for restricting the religious practice of a Sikh officer, and he successfully challenged the search policy of the Federal Bureau of Prisons after he was asked to remove his turban in order to see a client.",International News,NewsSumm++,"Ravinder Bhalla, a SikhAmerican councilman from Hoboken, New Jersey, faced Islamophobic remarks on Twitter from a Donald Trump supporter who called him a terrorist. Bhalla, a born and raised American, quickly responded, asserting his identity and criticizing the ignorance behind the comment. He emphasized the harmful impact of Islamophobia perpetuated by national leaders like Trump and advocated for education and understanding among diverse communities. Bhallas dignified response garnered support from various quarters, including elected officials, the SikhAmerican community, and his constituents. Known for his legal advocacy, Bhalla has previously challenged discriminatory practices affecting Sikhs in law enforcement and federal institutions."
News Article 46147,"Suggesting that India will need to focus on a twopronged approach  preserving public health and reviving economic activity  Prime Minister Narendra Modi on Monday placed particular emphasis on green zones which include districts and regions which are free of the coronavirus disease as the hub of future activity and a model to be aspired for. This is widely being interpreted as a sign that after May 3, the lockdown will continue in red zones  which are home to clusters of cases  while there can be further relaxations in the less affected zones. In an interaction with chief ministers on the pandemic on Monday  the fourth such meeting on the subject in just over a month  the PM emphasised the need for continued adherence to social distancing norms spoke out against stigmatising people with the disease told states that a high number of cases is not a matter to be ashamed about or fear, but to be dealt with through concerted action and called for an intensive study of the situation in each district and zone to then assess the kind of activities which can be permitted without the disease spreading. In the meeting, most state chief ministers called for a continued lockdown in the red zones while easing restrictions in nonCovid districts. They also demanded a clearer protocol on the return of migrant workers, and asked the Centre for comprehensive financial support given the plummeting revenues and fragile fiscal situation in states. A participant at the meeting, directly quoting the PM, said, He emphasised that on the one hand, we are challenged by how to save lives and on the other, we also have to equally focus on the financial aspect. Focusing on one more than the other is not possible. Thats why, the PM underlined, we have to strengthen economic activities and increase our strength to combat the virus. To implement this formulation in practice, the PM said that each state must study the impact of the lockdown in red zones, orange zones and green zones, where a range of activities have been permitted since April 20, and carefully consider where it is possible to lift restrictions, allow private transport, permit the elderly to move, and resume more economic activity without the disease spreading. The meeting participant said, The PM emphasised that there must be extra caution in red zones and hotspots, which are highrisk, with special teams assigned for them. The objective is to ensure that the infection does not move beyond the red zones and safe regions remain safe. In this backdrop, the PM called the green zones sacred, and emphasised that while practising social distancing, these regions will contribute to economic activity. The 300 districts which are safe green zones , I believe, should be treated as sacred, like our tirthsthans pilgrimage sites. Our focus will be how to expand the green zone. How our life will be in the coming days will be determined by the model in the green zone, not in the orange and definitely not the red zone. It will also help ensure, the PM said, according to the participant quoted above, that the lockdown stayed  but life continued as well. The mantra he gave to states was to convert red zones to orange, and orange to green zones. According to a government assessment in midApril, 170 districts in 20 states and five Union Territories UTs were identified as red zones. Additionally, there were 207 orange zones in the country, and the rest of Indias 730odd districts were classified as green zones. A district is considered a red zone if it has large outbreaks, multiple clusters or if the infection doubling rate is less than four days. If such an area does not report any new case for 14 days, it turns into an orange zone. With no cases for another 14 days, the region is then classified as green, or Covidfree. Commenting on the balancing act between health and the economy, Suyash Rai of Carnegie India said, India has now ramped up testing and got beds ready. But eventually, to fight Covid19, you need revenue. Or fiscal resources will dry up this year. So economic activity has to start carefully with all precautions in place. The PM also repeatedly invoked a phrase he first used in a meeting with gram panchayat heads  of the need to maintain do gaj doori, or a distance of two yards. He spoke, for the second time after his Mann ki Baat address on Sunday, on the indispensability of masks. The PM also said it was important not to treat those who had tested positive as criminals, while remaining vigilant. To states, he said, I want to, with all humility, say to all the CMs that if there are a spurt of cases, then your state wont be seen as guilty. If cases are low in your state, it wont be seen as great. We dont want this sentiment. We will just try to tackle it. If numbers increase in your state, dont be scared. Nine chief ministers spoke at the meeting  while some others gave their inputs in writing due to constraints of time. They provided an appraisal of the situation in their respective states, while making specific demands from the Centre. Bihar CM Nitish Kumar said it would not be possible to bring migrants back home unless the Centre issued clear directives in this regard. Odisha CM Naveen Patnaik asked for enhanced testing facilities, and a screening of migrant workers for the disease before they were sent home. Punjab CM Amarinder Singh, in a communiqué to the Centre, asked for opening of all small shops, businesses and industries in all areas except the containment zones. Haryana CM Manohar Lal Khattar asked the Centre to provide clarity on the schedules of various entrance examinations for medical and engineering colleges as well as for the armed forces, in the backdrop of the disruption in the academic calendar. He also provided details on the activities that have been resumed in the state. Delhi CM Arvind Kejriwal did not speak at the meeting, but a senior state government official said that the decision on the lockdown will be taken later in the week  in accordance with the guidelines laid out by the Centre. Kerala, represented by chief secretary Tom Jose, has sought staggered removal of the lockdown and an exclusive Covid financial package. Kerala has also asked the Centre to expedite return of 1.8 million migrants from the state, currently in West Asian countries. Jharkhand CM Hemant Soren has sought relaxation on the ban on interstate travel so that arrangements could be made to bring back students and migrant workers stuck in other states. Meghalaya CM Conrad Sangma said he proposed extension of lockdown. We have mooted to continue with the lockdown post May 3rd with relaxation on activities in green zones or nonCovid affected districts in Meghalaya, Sangma tweeted after the meeting. Mizoram CM Zoramthanga said the only Covid patient in the state was recovering slowly. Since we are surrounded by Myanmar, Bangladesh and neighbouring states, which also have Covid19 patients, we cant be complacent, he said, adding that the state will relax the lockdown slightly after May 3. Another key issue in the intervention of states was that of finances. Five opposition ruled states  Maharashtra, Chhattisgarh, Kerala, West Bengal and Rajasthan  have sought close to 2.25 lakh crore to overcome stress on the state finances due to the lockdown. This is in addition to the state governments asking the Centre to pay the pending Goods and Services Tax GST compensation immediately, increase the borrowing limit from 3 of the state GDP to 5, suspend repayment of all state development loans for a period of three months and allow flexi funds under Centrally sponsored schemes for Covid management. Former chief statistician of India, Pronab Sen, said the Centre will have to strike a balance between the financial needs of the states and the central government departments. There may be a need to relook at the way the money is shared between the Centre and the states. The Reserve Bank of India has taken several steps to help the states but more could be needed if the lockdown continues for long. It is not time to worry about fiscal slippages and we should relax the Fiscal Responsibility and Budget Management norms to reduce human suffering, he said.",Opinion and Editorial,NewsSumm++,"Indian Prime Minister Narendra Modi emphasized the need for a twopronged approachpreserving public health and reviving economic activityduring an interaction with chief ministers. He indicated that green zones, which are areas free of the coronavirus disease, will be the focus of future activities and a model to be followed. This is seen as a sign that the lockdown may continue in red zones, where clusters of cases are present, while there could be further relaxations in less affected zones. The PM urged states to study the impact of the lockdown in different zones and assess where restrictions could be lifted without the disease spreading."
News Article 14820,"TVFs Permanent Roommates was the first show to release online in India, four years before the streaming giants came in.Before Indias relations with Canada soured this year, that country was the first choice for newly married millennial couples from tier1 cities to relocate to and start a new life. Thats also the conflict in Season 3 of TVFs Permanent Roommates to go or not to go. Sumeet Vyas and Nidhi Singh return as Mikesh and Tanya respectively, and their bittersweet bickering makes for an adorable, relatable, entertaining show.The fact that Mikesh and Tanya have reached a place where one of them wants to branch out, feels organic as weve seen the two grow together after staying apart over the past nine years. Permanent Roommates was the first online show to come out of India on TVFs YouTube channel in 2013. This was four years before the streaming giants made inroads into the countrys content space. Unlike Netflix Indias Little Things, which also started on YouTube in 2016 but grew quickly into a fourseason flagship show on the streaming platform, Permanent Roommates still manages to retain that matchboxsized apartments intimate energy. Its third season is streaming on Prime Video India, yet it doesnt get swayed by scale. This assurance stems from its origins from the prestreaming era, unlike Little Things which coincided with the OTT boom. Permanent Roommates feels like that millennial who never had the ambition for big things, in a good way. Its the show thats actually interested in the little things, unlike others, who like the GenZ, aimed for bigger ideas with bigger audiences and caved in to streamings diktats of churning out content before experiencing the life that one could mine out of. The last season of Permanent Roommates came out in 2016. It was followed by the streaming boom, and the creators took their own sweet time to gauge how they could hold their own in an increasingly populated streaming space. They tested waters with an audio show and a minor spinoff, and seemed to have studied the reception of both to come up with a season that feels both earned and organic, instead of tokenistic and rushed in. While its been seven years since the previous season, Sumeet and Nidhi dont show any signs of ageing as far as their characters and their chemistry are concerned. They overcome the sevenyear itch with flying colours, slipping into their respective characters with the effortlessness of putting on a second skin. They share a similar energy to where we left them off last. Sumeet is particularly impressive at holding on to that adorable inner manchild. One would imagine, like any budding actor, hed not be able to go back to his humble beginnings. But he does what possibly an Alia Bhatt cant do go back to playing Shanaya from Student of the Year in all her childish, selfdeprecating, yet affecting glory. Nidhi, on the other hand, makes you question with her ease and emotional fluidity, why she wasnt given as fair a chance for bigger things as her costar. She not only excels in a performance thats more internalised, but also makes Sumeet look even better with her nuanced reactions. Watch out for her in two scenes of emotional breakdown, in the first and the last episodes. They trace her unpredictable character arc and also make a case for her range.",Entertainment,NewsSumm++,"The article discusses the return of TVFs show Permanent Roommates with its third season on Prime Video India. Highlighting its significance as Indias first online show in 2013, it contrasts it with the current streaming landscape dominated by giants like Netflix. Despite the hiatus since its last season in 2016, the series retains its intimate charm and focuses on the evolving dynamics between the lead characters, Mikesh and Tanya. The review praises the actors seamless portrayal, particularly Sumeet Vyass consistent portrayal of a lovable manchild and Nidhi Singhs nuanced performance. The shows deliberate pacing, avoiding rush and tokenism, adds depth to its narrative, setting it apart in the contentdriven streaming era."
